[Metadata],,,,,,,,,,
Opcode,VQCOP-B004,,,,,,,,,
Test name,Dark current measurement,,,,,,,,,
Device ID,R1C0Q0,,,,,,,,,
Test start date,2025-02-16-17-06-57,,,,,,,,,
Test end date,-,,,,,,,,,
Remarks,tested with keithley SMU lowest possible reading > 700 nano Amps, device slightly chipped near the edge of r 250 gold bond pad intact,,,,,,,,
,,,,,,,,,,
[Unit],,,,,,,,,,
Voltage,V,,,,,,,,,
Current,uA,,,,,,,,,
Temperature,C,,,,,,,,,
,,,,,,,,,,
[Settings],,,,,,,,,,
Temp,25,,,,,,,,,
Step size,0.1,,,,,,,,,
,,,,,,,,,,
[Measurement data],,,,,,,,,,
Voltage step:,Dark current-r10.0,Dark current-r20.0,Dark current-r30.0,Dark current-r40.0,Dark current-r50.0,Dark current-r80.0,Dark current-r100.0,Dark current-r150.0,Dark current-r200.0,Dark current-r250.0
0,1.722248,-0.7597264,1.681212,-0.2772431,-1.537323,-0.9437208,-1.872948,-1.594541,1.418521,-0.7119379
-0.1,-1.178123,0.486325,-0.46473,-0.7876079,-1.399836,0.9863288,-0.8539064,-0.04674075,1.000823,-5.323382
-0.2,-1.19576,0.4898757,0.4093745,-1.351698,-1.136912,-2.313755,-1.359673,-0.7681665,-2.040877,-6.13858
-0.3,0.7243361,0.5373731,-1.027656,2.011657,0.2578599,-0.6267219,-1.70985,-1.512293,-1.503737,-8.951989
-0.4,0.7788767,1.076609,0.07537892,-1.149427,0.05989568,-0.8791685,-2.891989,-0.692613,-0.02869638,-8.972595
-0.5,0.04400499,1.38965,-1.62801,0.753731,-1.251407,1.844426,-3.168883,1.455832,-0.7875497,-9.185867
-0.6,0.600412,-0.1442386,0.5027978,1.07981,2.361136,-0.2672314,-3.253866,-2.828718,0.2519228,-11.3729
-0.7,2.376211,1.519802,0.7398194,-0.8206698,0.1377193,-0.07316703,-4.274421,1.06456,-3.304973,-13.58287
-0.8,0.4292815,-0.7090857,-0.09330688,-0.7411581,1.797802,-0.6904011,-3.577094,0.6217742,-1.467939,-18.23233
-0.9,2.018991,-1.94984,-1.053733,-1.09541,1.593726,0.7391209,-5.729264,-2.634246,-0.9236392,-20.99643
-1,1.172535,-0.1314911,1.593726,1.642329,1.012115,-0.1752051,-7.019087,-2.757006,-3.028836,-25.18378
-1.1,-0.1827721,0.4824833,-2.399669,2.054847,0.2433662,-0.1381268,-7.563503,-2.517656,-2.907822,-26.93589
-1.2,2.377667,-2.059503,-0.06641494,-1.110719,-0.1844601,-1.044304,-6.1139,1.056585,-1.489825,-27.91517
-1.3,-1.077016,1.759443,-0.6649061,-0.6019836,0.9473879,1.158623,-7.277296,-1.152628,-4.790723,-32.13505
-1.4,1.090229,-0.06466871,-1.613691,-0.2731103,1.683249,-0.639644,-10.89391,-1.068576,-2.029235,-34.5982
-1.5,0.6440678,2.066721,0.07706694,-0.5360926,0.2793968,-0.8825446,-7.922295,-1.467939,-3.0761,-38.41368
-1.6,-1.217297,2.466375,-1.645414,0.8626957,0.4152535,1.968758,-10.18902,-2.810266,-3.417081,-39.36084
-1.7,0.4093745,-0.3459281,-1.342967,-2.162764,-0.2896995,0.008614734,-14.0153,0.03236346,-5.564652,-44.53395
-1.8,0.3614696,-1.708919,-0.7042545,-2.375047,1.629523,1.083477,-14.15832,-0.4394678,-3.523834,-44.15636
-1.9,-0.4540198,-1.350127,-2.292159,-0.8005882,-2.027373,-1.097855,-15.04377,-3.940542,-4.8519,-50.5874
-2,1.128588,1.026725,-2.403453,-1.48156,1.754903,-1.910143,-12.65627,-0.5305628,-6.396847,-52.46804
-2.1,-0.9992509,0.1011067,-1.172128,0.4569883,1.286739,-0.8757925,-12.87722,-1.501932,-3.942056,-58.18371
-2.2,0.1435401,1.008622,-0.8037314,-1.941225,-1.737208,2.06352,-16.53691,-1.656066,-7.041206,-61.88493
-2.3,0.1519802,1.083477,-0.6741029,-2.303452,-0.5154288,1.5478,-18.45375,-4.272442,-7.032999,1.893903
-2.4,-1.783192,1.721317,-2.199726,-0.7119379,-0.5952897,-1.309731,-17.95695,-1.555192,-7.287308,-1.619104
-2.5,-1.80112,-0.908447,-1.467939,-3.255613,0.7507042,-1.523003,-16.57935,-1.136039,-5.073904,-0.5846377
-2.6,1.658103,-0.1827721,-4.401081,-3.274006,-0.8399365,1.345528,-17.97936,-2.757704,-6.438757,0.399421
-2.7,-0.6140908,1.302164,-3.822031,-2.911605,0.2199668,-0.1770095,-19.96668,-2.247805,-6.193761,-0.2182787
-2.8,-0.1557637,1.074513,-3.353111,-3.647874,-0.07549534,-1.74006,-22.5752,-5.735666,-10.72383,-0.3112364
-2.9,-0.4265457,1.653796,-2.178538,-3.897876,-0.8791685,-0.1535518,-21.66425,-2.79845,-10.04653,-1.271605
-3,0.4881294,-0.197906,-2.58442,-2.522429,-0.6514601,-1.791108,-24.92376,-1.921493,-11.61674,2.315617
-3.1,-0.02619345,-2.029992,-4.272442,-3.215275,-2.325745,-3.040361,-23.97847,-4.219008,-9.965384,-1.624983
-3.2,-0.9434298,0.6532064,-3.663648,-2.350542,-1.562876,-2.44769,-26.8076,-2.737914,-11.88612,-1.951761
-3.3,-1.245004,-1.231267,-4.827278,-5.98561,-1.788081,-0.4009926,-27.94876,-2.957415,-12.52396,-8.720963
-3.4,-0.01001172,-0.7744529,-4.622387,-7.095165,-1.511362,-2.208748,-31.02323,-7.276016,-12.3927,-5.833688
-3.5,-0.6417395,0.486325,-4.580652,-7.931434,-2.353685,-1.866138,-30.33772,-7.704657,-14.25616,0.4859758
-3.6,-1.414563,-0.8615316,-7.444178,-5.815702,-2.130866,-0.7270719,-35.00714,-6.372924,-17.18284,-5.632348
-3.7,-1.771958,-1.945649,-5.158945,-7.686263,-3.151014,-1.134991,-33.15377,-5.77129,-17.62673,-6.280083
-3.8,-0.5559414,-0.9009382,-6.968796,-8.490286,-3.042165,-2.290006,-35.64477,-9.312178,-18.64729,-1.906359
-3.9,1.022418,2.246525,0.5363836,-7.364491,-1.734123,-1.66893,-39.96264,-8.414907,-21.61105,1.631503
-4,-0.5656038,0.5731708,0.2530287,-8.897623,-2.096989,-2.354733,-42.04593,-10.3286,-21.46722,-1.401117
-4.1,0.8206116,-2.550951,-4.637463,-9.95642,-1.964043,-3.288384,-44.09527,-11.03315,-23.90571,0.09988435
-4.2,0.4185713,-1.219276,-2.383778,-11.208,-2.420391,-2.434768,-45.11434,-12.63735,-26.15358,-0.2479064
-4.3,-0.5895854,-2.245477,-11.92861,-10.5729,-3.877562,-2.933375,-48.87203,-14.55704,-28.43386,-0.220607
-4.4,0.3376626,-2.731511,-13.38136,-14.42671,-4.156027,-4.274421,-50.01438,-15.54511,-29.57252,0.1196167
