[Metadata]
Opcode,VQCOP-B004
Test name,Dark current measurement
Device ID,R2C0Q5
Test Start Date,2025-02-25-12-54-44
Test End Date,-
Remarks,"tested with keithley SMU lowest possible reading > 700 nano Amps,"

[Unit]
Voltage,V
Current,uA
Temperature,C
Columns,"Bias voltage, Dark current-r[um], Temp"

[Settings]
Temp,25
Step size,0.2

[Measurement data]
Voltage step:,Dark current-r10.0,Dark current-r20.0,Dark current-r30.0,Dark current-r40.0,Dark current-r50.0,Dark current-r80.0,Dark current-r100.0,Dark current-r150.0,Dark current-r200.0,Dark current-r250.0
-0.0,2.2586899999999996,-0.3969762,1.771899,1.0710790000000001,1.0003570000000002,-0.7025083,-0.8242787,-2.720335,-1.5813279999999998,-0.8771312
-0.2,-0.1585577,0.059662849999999996,0.1196167,0.4030881,-0.8983188,1.593726,0.21513549999999998,-11.76685,-1.442735,-5.465117
-0.4,-0.7565832,0.8841744,-1.895183,-0.5027396000000001,1.233537,-0.4746253,-1.5888360000000001,-22.699469999999998,-1.052162,-6.651739
-0.6,-0.5508773,-1.613691,0.5195034000000001,0.6395276000000001,1.164852,-0.8957577,0.7636845,-31.419740000000004,-4.430418,-9.379699
-0.8,-0.33801190000000003,-0.14569379999999998,-1.5342959999999999,1.1461670000000002,-0.1190929,0.3412715,-1.144654,-42.29019,-5.936367000000001,-8.532254
-1.0,-0.8399365000000001,-2.4884939999999998,0.7480849,-1.597567,-1.359673,-0.8275383000000001,-1.105072,-51.2783,-5.810754,-11.73012
-1.2,0.9133364,-0.8454081,-0.5401089,-1.9657889999999998,-0.2188608,-0.7177587000000001,-2.470624,-61.9076,-6.527116,-14.37886
-1.4,0.2129818,0.41053860000000003,0.7755007,-0.8040806,-0.5104230000000001,-2.012181,-1.8544960000000001,-73.48519,-8.665491000000001,-18.50812
-1.6,-1.027656,0.3787572,-3.9675510000000003,0.8741627000000001,0.5208421,-1.2847590000000002,-1.773413,-83.52823000000001,-10.11521,-19.8675
-1.8,0.5373730999999999,-0.1752633,-5.328271,-1.648441,-2.8287180000000003,-0.4177564,-2.133835,-95.59651000000001,-11.69473,-22.68149
-2.0,0.3968016,0.37881549999999997,-3.154739,-1.318229,-0.239932,0.30105000000000004,-2.07097,-105.5441,-16.98779,-28.7962
-2.2,0.6639166,-0.6451737,-6.467162,-1.5122929999999999,-2.6847119999999998,-2.49641,-0.4711328,-115.5261,-16.63266,-31.725530000000003
-2.4,0.4252652,-2.120447,-8.288247,-2.16451,-3.100839,-2.087851,-1.4679389999999999,-126.43469999999999,-23.150989999999997,-40.408370000000005
-2.6,-0.800821,0.27380879999999996,-10.21149,-2.964807,-3.8405410000000004,-4.050263999999999,-1.964392,-135.6557,-22.87835,-47.36811
-2.8,-1.324748,-1.774111,-12.91331,-3.8492140000000004,-6.289687000000001,-5.926588,-5.002948,-146.6138,-27.84928,-54.70353
-3.0,1.0664230000000001,-1.127715,-14.70314,-2.735876,-7.620256,-4.8388610000000005,-3.731227,-155.8338,-35.74823,-66.20903
-3.2,0.003550667,-2.049084,-16.49401,-1.8890710000000002,-8.5223,-6.255752,-4.84311,-167.4937,-43.37079,-78.0297
-3.4,-0.07997733,-1.816021,-15.649009999999999,-4.159228,-9.939191,-8.464209,-6.968796,-181.166,-50.48639,-92.53301
