[Metadata]
Opcode,VQCOP-B004
Test name,Dark current measurement
Device ID,R2C10Q1
Test Start Date,2025-02-27-16-12-53
Test End Date,-
Remarks,"tested with keithley SMU lowest possible reading > 700 nano Amps,LOT OF SCRATCHES IN METAL BONDPAD"

[Unit]
Voltage,V
Current,uA
Temperature,C
Columns,"Bias voltage, Dark current-r[um], Temp"

[Settings]
Temp,25
Step size,0.2

[Measurement data]
Voltage step:,Dark current-r10.0,Dark current-r20.0,Dark current-r30.0,Dark current-r40.0,Dark current-r50.0,Dark current-r80.0,Dark current-r100.0,Dark current-r150.0,Dark current-r200.0,Dark current-r250.0
-0.0,-0.22811579999999998,0.03864989,0.7398193999999999,-0.5027396000000001,-0.27724309999999996,0.1905137,0.5931943,-0.3445894,1.316832,1.7191049999999999
-0.2,2.006302,3.107591,-0.5186303,0.2330053,-1.778943,-1.433888,-0.1071603,-2.344896,-0.5059992,-2.5800549999999998
-0.4,1.114735,-0.08876668,0.1819571,0.2254383,-1.541455,0.6440678,1.154316,-3.251538,-1.4679389999999999,-1.347798
-0.6,0.3516325,0.8348725,0.5068140999999999,0.3200257,0.01158332,-1.514331,1.371896,-1.206237,-2.420391,-2.1483280000000002
-0.8,-0.5324255,-1.1639199999999998,0.387663,-1.253793,-1.606764,0.24173640000000002,0.6350456,-2.442044,-3.363297,-2.160843
-1.0,1.515204,-2.505432,-0.8284114,1.123932,-0.7875496999999999,-0.5555920999999999,-2.861838,-2.295361,-7.149065,-3.679132
-1.2,-2.066663,-1.836452,-0.10721850000000001,0.5731708,1.143257,-0.8539064000000001,-2.184999,-2.6480989999999998,-4.002301,-3.671041
-1.4,-0.8184579000000001,0.1427252,-1.2652599999999998,-0.8983188,-2.762245,-3.538618,-1.574634,-3.090419,-4.416215,-4.966976
-1.6,1.302164,-2.369401,-0.05582115,-1.527078,-3.016845,-2.219167,-1.624925,-2.0408769999999996,-6.438757,-6.962276999999999
-1.8,2.527086,0.23999020000000001,1.4425599999999998,-2.018001,-3.595953,-5.329493,-2.105779,-4.373316,-8.819741,-6.311515
-2.0,-1.30129,-2.337212,-1.6894770000000001,1.204957,-2.956251,-3.1499659999999996,-2.106652,-3.6825080000000003,-10.0066,-7.757625999999999
-2.2,0.5882466,-0.04301546,-0.7194467,-1.071021,-5.103066,-2.998742,-2.8287180000000003,-4.057074,-12.3916,-9.929236999999999
-2.4,-0.0927248,-3.8956639999999996,-0.236847,0.700762,-4.855683,-3.582623,-6.124726,-4.189438,-13.99475,-9.148614
-2.6,0.48446239999999996,-4.487054,-2.2819149999999997,-0.382599,-7.993251,-4.603586,-6.207498,-6.340852,-19.724600000000002,-14.60325
-2.8,1.7727730000000002,0.003143214,0.2246816,-1.4015819999999999,-8.720381,-7.836206,-6.130954999999999,-9.725161,-21.38695,-14.96653
-3.0,-0.10721850000000001,-3.6327399999999996,-3.992871,-4.173954999999999,-11.58391,-9.031151,-10.679129999999999,-9.025563,-27.669189999999997,-16.10356
-3.2,1.8347049999999998,-3.452355,-1.571374,-5.219772,-12.66442,-10.67296,-10.50718,-13.85785,-33.43282,-17.06212
-3.4,0.6185146,-6.4045890000000005,-3.8492140000000004,-5.645445,-14.52729,-13.76698,-16.18871,-15.71799,-41.65235,-18.529539999999997
-3.6,-0.3032619,-5.680950999999999,-5.268084,-4.383852,-19.79904,-16.48982,-16.58493,-23.92021,-51.49897,-21.73835
-3.8,-1.0658400000000001,-9.034993,-5.521812,-8.07934,-20.531409999999997,-20.53345,-18.56795,-26.37273,-59.3891,-23.52934
-4.0,-0.5308539,-11.04973,-7.406982999999999,-10.92016,-24.061420000000002,-23.15477,-26.4945,-35.77999,-75.86073,-24.636969999999998
-4.2,-0.2185116,-12.96337,-11.18751,-9.649841,-30.85146,-29.43294,-32.08462,-43.36989,-88.18906,-25.92051
-4.4,0.268803,-16.01432,-12.65458,-14.54772,-38.31877,-35.35306,-40.716,-55.62548,-109.5571,-34.78091
-4.6,0.4522735,-17.29018,-16.45193,-19.95702,-43.998729999999995,-43.07879,-49.217600000000004,-68.06137,-131.32930000000002,-35.22795
-4.8,0.5360926,-19.372500000000002,-20.29614,-20.66075,-52.01332,-51.53331,-61.068419999999996,-82.60904,-159.5063,-40.41111
