[Metadata]
Opcode,VQCOP-B004
Test name,Dark current measurement
Device ID,R2C10Q2
Test Start Date,2025-02-27-17-23-00
Test End Date,-
Remarks,"tested with keithley SMU lowest possible reading > 700 nano Amps,METAL PATCH NEAR R10 BONDPAD"

[Unit]
Voltage,V
Current,uA
Temperature,C
Columns,"Bias voltage, Dark current-r[um], Temp"

[Settings]
Temp,25
Step size,0.2

[Measurement data]
Voltage step:,Dark current-r10.0,Dark current-r20.0,Dark current-r30.0,Dark current-r40.0,Dark current-r50.0,Dark current-r80.0,Dark current-r100.0,Dark current-r150.0,Dark current-r200.0,Dark current-r250.0
-0.0,-79.13494,-0.9657815,1.234119,0.02596062,0.4673493,0.2677552,1.006178,-0.7875496999999999,0.7613561999999999,-2.042507
-0.2,,-0.01001172,-0.537606,1.675333,-1.089997,-0.2653687,0.9961659,-2.55648,-6.684044,-10.28174
-0.4,,-1.685054,-1.703971,-0.5414477000000001,-1.92679,-2.098503,0.3976165,-0.4342874,-7.591327000000001,-14.173860000000001
-0.6,,-1.14314,-1.884415,0.6255577,-0.8599017999999999,-1.8890710000000002,-0.7875496999999999,-0.3273017,-11.45701,-22.828
-0.8,,-0.5718321,-0.6282935000000001,-1.9388969999999999,-3.980123,-1.014327,-2.459332,0.5098991,-17.19425,-28.53957
-1.0,,-1.414272,-2.7954809999999997,-1.8251009999999999,-2.522429,-0.3339374,-2.720335,-1.4411630000000002,-19.41272,-33.606480000000005
-1.2,,-0.1811422,-0.9096111,-0.06280607,-2.423301,-1.365202,-2.680754,-3.4592229999999997,-22.49615,-43.419630000000005
-1.4,,-2.3565370000000003,-1.674925,-1.842796,-3.292575,-1.74006,-3.6327399999999996,-4.869828,-28.398000000000003,-52.949360000000006
-1.6,,-2.208981,-3.9768060000000003,0.3463938,-6.653485,-0.597036,-4.269474,-2.8589860000000002,-34.93921,-63.42518999999999
-1.8,,-1.3658430000000001,-3.833091,-0.6408081,-5.8147709999999995,-3.266032,-5.567155,-2.706598,-41.208580000000005,-73.95839
-2.0,,-0.9713694,-7.9767779999999995,-1.161708,-8.284522,-3.392866,-6.765127000000001,-6.081129000000001,-47.384299999999996,-82.59804
-2.2,,-3.463705,-7.213326,-3.45119,-8.995470000000001,-3.4924600000000003,-9.263807,-8.382427,-56.17592,-100.14009999999999
-2.4,,-5.928159,-7.846393000000001,-1.4015819999999999,-11.80003,-3.9387960000000004,-11.446710000000001,-7.591327000000001,-66.49707000000001,-115.4663
-2.6,,-2.564047,-10.841930000000001,-5.532231,-13.880550000000001,-5.209935,-12.11191,-12.95516,-79.31751,-132.5994
-2.8,,-5.723559,-14.63166,-2.7588690000000002,-16.65379,-7.656054,-14.54965,-14.128219999999999,-92.787,-157.0178
