[Metadata]
Opcode,VQCOP-B004
Test name,Dark current measurement
Device ID,R2C2Q1
Test Start Date,2025-02-27-16-17-53
Test End Date,-
Remarks,"tested with keithley SMU lowest possible reading > 700 nano Amps,FINGERPRINT ON THE SURFACE OF THE CHIP"

[Unit]
Voltage,V
Current,uA
Temperature,C
Columns,"Bias voltage, Dark current-r[um], Temp"

[Settings]
Temp,25
Step size,0.2

[Measurement data]
Voltage step:,Dark current-r10.0,Dark current-r20.0,Dark current-r30.0,Dark current-r40.0,Dark current-r50.0,Dark current-r80.0,Dark current-r100.0,Dark current-r150.0,Dark current-r200.0,Dark current-r250.0
-0.0,1.25356,-0.1338776,-0.5207257,-1.949142,0.627595,0.1498265,-0.4621106,1.409499,0.42887400000000003,-0.6146147
-0.2,-1.237087,1.640117,2.264918,2.056011,-1.3734099999999998,-1.071021,-0.537606,-1.7462300000000002,-0.6844639,0.3194436
-0.4,0.9813812000000001,-0.5436013000000001,-0.004540198,-2.063229,-0.07008202,-0.8704956,-0.6225891,-0.1246808,0.1990702,-0.8380156999999999
-0.6,0.02892921,1.166714,1.4458199999999999,-1.387845,-1.545181,0.2836459,-3.026216,-1.172128,-1.948152,-1.757406
-0.8,0.5590264,1.8645079999999998,1.158623,-2.1483280000000002,-1.034932,-1.98558,-5.919544,-1.53773,-1.2713720000000002,0.03672903
-1.0,0.1033768,0.6395276000000001,0.3889436,0.5198526,0.7324269999999999,-0.05611219,-4.923495,-1.14314,-2.231216,-0.233762
-1.2,1.7538550000000002,1.216773,-0.02211891,-1.348846,0.02630986,-0.8648494,-8.672883,-1.586159,0.5353941,-1.800538
-1.4,0.3740424,-1.245469,1.621316,-0.7713679,-0.9434298,0.2859742,-7.304829,-0.02619345,-0.1071603,-1.297798
-1.6,-0.5782349,1.898094,1.174398,1.016189,-0.21606679999999998,-2.0050790000000003,-10.38081,-1.646171,-0.30884979999999995,-0.7065828
-1.8,1.602981,-2.539484,-0.06379560000000001,-0.7431371999999999,-1.9498400000000002,-0.23748729999999998,-11.991999999999999,-1.1115920000000001,-0.050466040000000004,-6.29382
-2.0,-0.1284643,2.430403,-2.430403,0.5573966,-1.962762,-1.253095,-13.74952,-0.2812594,-3.803289,-10.33221
-2.2,-0.7278868000000001,-0.42654569999999997,0.9781797000000001,-0.9430805,-0.12165400000000001,-3.127381,-17.456650000000003,-2.210087,-2.290704,-10.853919999999999
-2.4,-0.5559414,0.1129811,-1.018867,-1.4679389999999999,-0.9333598,-1.572596,-18.87657,-1.6176490000000001,-5.458191,-13.137699999999999
-2.6,-1.6947160000000001,0.5577458,-1.8732389999999999,-0.297674,0.8954667,-1.925393,-21.35179,-2.9770890000000003,-4.999398,-15.801110000000001
-2.8,-1.67056,-0.233762,0.3180467,-1.0082149999999999,-1.0024520000000001,-0.2229935,-25.363870000000002,-4.143047,-2.994144,-19.66784
-3.0,-1.127715,1.011649,-0.7731142,-0.8579227,-0.699365,-2.11806,-26.95573,-0.7431371999999999,-4.000438,-18.03425
-3.2,-0.04301546,-0.9387732,-1.335167,-0.2309098,0.5415641,-3.8978759999999997,-31.43155,-4.337344000000001,-4.410977,-7.993251
