[Metadata]
Opcode,VQCOP-B004
Test name,Dark current measurement
Device ID,R2C4Q5
Test Start Date,2025-02-27-17-19-03
Test End Date,-
Remarks,"tested with keithley SMU lowest possible reading > 700 nano Amps,METAL PATCH ON R10 BONDPAD"

[Unit]
Voltage,V
Current,uA
Temperature,C
Columns,"Bias voltage, Dark current-r[um], Temp"

[Settings]
Temp,25
Step size,0.2

[Measurement data]
Voltage step:,Dark current-r10.0,Dark current-r20.0,Dark current-r30.0,Dark current-r40.0,Dark current-r50.0,Dark current-r80.0,Dark current-r100.0,Dark current-r150.0,Dark current-r200.0,Dark current-r250.0
-0.0,-0.4096073,-0.020605509999999997,1.123932,-0.09383074999999999,-0.5456386,0.8824280999999999,-2.0705630000000004,-1.956418,-0.46624340000000003,-1.629058
-0.2,1.223991,-0.14499530000000002,-0.366359,-0.48516089999999995,-1.08825,-0.4690955,1.1461670000000002,-0.02712477,-1.3024550000000001,-7.931433999999999
-0.4,2.552464,2.485933,-0.16688139999999999,1.266657,1.079054,0.4597823,-1.162407,-2.78122,-5.653186000000001,-13.93579
-0.6,0.21443700000000002,-0.4398171,-2.328074,1.134526,1.106411,0.9950017999999999,-3.460445,-5.737878,-4.369533,-23.46659
-0.8,0.6501796000000001,1.238426,-1.0967490000000002,-0.5834153999999999,-1.42405,1.73389,-4.398753,-7.897441000000001,-6.7871879999999996,-29.45593
-1.0,-1.250766,-0.724569,-4.189438,0.3787572,1.120439,0.5313195000000001,-4.9440420000000005,-7.95268,-5.897949,-36.254149999999996
-1.2,-1.425389,-2.327375,-4.189438,0.8604255999999999,-1.8376739999999998,0.3180467,-3.2040409999999997,-11.47331,-6.802613,-46.8014
-1.4,-1.494598,-1.839013,-6.706861,0.6055343,0.4030881,1.8772550000000001,-6.928807,-14.47415,-9.051582,-57.010940000000005
-1.6,-0.020605509999999997,0.3812602,-7.7896980000000005,-1.279754,-1.083361,1.768465,-6.327697,-16.68039,-9.300478,-67.35811
-1.8,0.045285559999999996,0.4068133,-9.192911,-1.578708,-0.4473841,1.8386639999999999,-6.825838,-18.59304,-15.04761,-82.99039
-2.0,-1.241162,0.35745319999999997,-10.80992,-0.1381268,-2.0148580000000003,0.9133946000000001,-10.65293,-24.517239999999997,-17.412239999999997,-98.33579
-2.2,-1.3810930000000001,-1.8202120000000002,-13.33107,-1.09541,-1.452165,1.889537,-9.003036999999999,-26.0137,-20.35202,-116.1181
-2.4,1.25356,-1.5489060000000001,-13.96198,0.9714277,-0.6610062000000001,2.0055449999999997,-10.79083,-31.669769999999996,-25.947110000000002,-138.1306
-2.6,-1.370732,-3.509049,-16.54541,-1.241162,-0.8184579000000001,-1.7230629999999998,-16.60618,-38.29459,-31.38231,-161.9118
-2.8,-1.180684,-3.5368720000000002,-19.157600000000002,-1.273467,-2.198678,2.13657,-17.472080000000002,-46.647819999999996,-40.33413,-187.74960000000002
-3.0,-1.326727,-3.1881500000000003,-22.71216,-0.9616488000000001,-3.493275,-0.07485505,-18.90864,-54.21671,-47.68182,-219.6592
-3.2,-0.37183049999999995,-4.113885000000001,-26.27773,-4.428905,-3.038032,1.23732,-23.20576,-63.60852,-57.20046,-254.96999999999997
-3.4,0.9873766,-7.0497630000000004,-29.10261,-4.259811,-5.218782,-10.0066,-30.4287,-75.21736999999999,-70.99335,-289.2495
-3.6,-1.0658400000000001,-8.213799,-33.54889,-4.520931,-7.146446,-9.078591,-32.19093,-88.72552999999999,-83.79284,-336.7363
-3.8,-1.245236,-8.836214,-39.90138,-8.67981,-10.63745,-13.76006,-40.408370000000005,-105.1759,-102.9623,-382.4758
-4.0,-1.8289430000000002,-10.51498,-46.019149999999996,-9.67324,-9.781215,-18.83286,-48.49202,-126.0422,-121.34939999999999,-439.73679999999996
-4.2,1.899025,-15.407219999999999,-52.3132,-12.909239999999999,-13.77793,-18.635469999999998,-57.9943,-149.90890000000002,-148.32889999999998,-504.8205
-4.4,-2.352346,-18.47727,-59.99435,-17.16631,-19.61779,-23.79488,-66.64119,-175.9288,-178.381,
-4.6,-1.646171,-22.78126,-69.17183,-18.91854,-21.05476,-31.4911,-78.48264,-204.1531,-207.9819,
-4.8,-1.1476799999999998,-24.86608,-76.53059,-25.12819,-25.11544,-40.15194,-93.25758,-240.7318,-251.6244,
-5.0,-1.567125,-33.73693,-89.25583,-27.601139999999997,-33.55209,-47.876439999999995,-111.6881,-284.4472,-300.3588,
-5.2,-0.9544309999999999,-37.195389999999996,-102.0101,-35.664770000000004,-40.6511,-57.76863,-128.5737,-330.4366,-354.6833,
-5.4,-0.1201988,-45.13259,-116.3399,-43.72653,-46.95018,-71.2277,-152.7174,-384.33549999999997,-417.2037,
-5.6,-1.3317910000000002,-54.33394,-132.9375,-53.90513,-59.40083,-83.9119,-175.0306,-444.7498,-486.64500000000004,
-5.8,2.594315,-63.36431,-147.74779999999998,-62.45391,-69.22969,-99.49002,-202.8041,-512.1035999999999,,
-6.0,-0.8933712,-75.90276,-168.9602,-72.72264,-78.54038,-113.389,-232.31040000000002,,,
-6.2,-1.9890139999999998,-86.51437,-191.81879999999998,-83.43648999999999,-87.72391999999999,-135.142,-261.4907,,,
-6.4,-0.015541450000000002,-95.33024,-212.2534,-97.45467,-102.4072,-150.35299999999998,-295.8465,,,
-6.6,-1.30682,-108.9179,-235.629,-108.5634,-113.37429999999999,-167.23749999999998,-328.7751,,,
-6.8,-0.5040201000000001,-121.7443,-262.0101,-116.39020000000001,-126.67209999999999,-185.80110000000002,-359.2223,,,
-7.0,-1.7462300000000002,-130.96,-285.21770000000004,-127.90119999999999,-134.0368,-195.969,-384.0634,,,
-7.2,1.6865089999999998,-139.6475,-310.8425,-130.9227,-139.4739,-209.99450000000002,-410.15939999999995,,,
-7.4,0.6548362,-147.4076,-331.482,-136.86180000000002,-145.1833,-219.0479,-428.8734,,,
-7.6,0.8427304999999999,-151.7226,-357.2873,-144.6051,-151.05890000000002,-226.635,-453.44100000000003,,,
-7.8,1.5127590000000002,-162.48909999999998,-386.94419999999997,-151.1644,-156.5075,-237.5114,-477.0197,,,
-8.0,0.7837079,-167.3306,-414.2832,-154.1951,-165.4084,-249.4957,-502.0478,,,
-8.2,1.327833,-174.8373,-450.4652,-158.9017,-171.2691,-257.2497,,,,
-8.4,1.501001,-181.28820000000002,-487.8003,-168.8757,-174.332,-270.4994,,,,
-8.6,0.24656769999999997,-187.9747,,-174.8519,-180.7458,-281.56969999999995,,,,
-8.8,2.327084,-194.37109999999998,,-181.4499,-189.5906,-291.36659999999995,,,,
-9.0,1.654786,-205.4821,,-188.9027,-197.82670000000002,-305.2389,,,,
-9.2,-1.3454700000000002,-211.23250000000002,,-193.3956,-204.9292,-319.02729999999997,,,,
-9.4,-1.329347,-218.8898,,-204.2011,-213.12640000000002,-331.6521,,,,
-9.6,0.4206668,-228.0704,,-208.09980000000002,-222.9371,-343.6483,,,,
-9.8,1.73389,-239.1726,,-203.2077,-232.94719999999998,-358.8572,,,,
-10.0,1.8118299999999998,-247.1986,,-0.9742215999999999,-241.0254,-373.65229999999997,,,,
