[Metadata]
Opcode,VQCOP-B004
Test name,Dark current measurement
Device ID,R2C7Q2
Test Start Date,2025-02-27-10-46-57
Test End Date,-
Remarks,"tested with keithley SMU lowest possible reading > 700 nano Amps,METALIC PATCH ON R10"

[Unit]
Voltage,V
Current,uA
Temperature,C
Columns,"Bias voltage, Dark current-r[um], Temp"

[Settings]
Temp,25
Step size,0.2

[Measurement data]
Voltage step:,Dark current-r10.0,Dark current-r20.0,Dark current-r30.0,Dark current-r40.0,Dark current-r50.0,Dark current-r80.0,Dark current-r100.0,Dark current-r150.0,Dark current-r200.0,Dark current-r250.0
-0.0,1.225795,0.4370813,1.110311,-1.241162,-1.779757,0.44563790000000003,-1.2865060000000001,-1.266832,-1.4853429999999999,-2.3617179999999998
-0.2,-1.9109580000000002,1.788081,-0.220607,0.6548362,-1.137494,1.419859,-2.243265,-1.440116,-0.8604255999999999,-3.393274
-0.4,1.661829,1.7594429999999999,0.1819571,-1.172128,-1.483713,0.9350478999999999,-2.114277,0.08183997,-1.600245,-4.416215
-0.6,0.5988404,0.14551920000000002,-0.6839982,-1.839013,-0.6468035,0.2160086,-2.540008,-1.762121,-1.227716,-6.322807
-0.8,0.6395276000000001,-1.480978,1.7298149999999999,0.8533243,0.16210829999999998,0.3614696,0.7220078,-2.75136,-2.814224,-10.267420000000001
-1.0,1.9338910000000002,-1.068576,-1.565088,-0.142958,1.050939,0.2242741,-0.7686322,-3.778026,-3.538036,-12.14823
-1.2,-1.2236410000000002,-0.06554183,1.3528040000000001,0.46851349999999997,0.5731708,-1.840177,-1.422537,-3.674999,-3.6356509999999997,-12.70819
-1.4,-1.1356899999999999,0.5905749,0.2789893,0.2774177,-0.1333538,-0.3944151,-0.609376,-1.764507,-6.175018000000001,-13.82799
-1.6,-0.1892913,1.521606,0.1711887,1.238426,-0.7875496999999999,-0.8033821,-0.7727649,-3.701309,-5.896844000000001,-12.99573
-1.8,0.07421477,-1.623877,-1.2854,-1.9872100000000001,0.5593756,-0.8782954,-2.895074,-2.0246370000000002,-8.445350000000001,-16.170550000000002
-2.0,-0.4325993,-2.6585769999999997,0.189757,-1.255306,-1.577253,-0.7090857,-0.970671,-3.620167,-6.404996000000001,-18.915689999999998
-2.2,0.5731708,-0.8867355,-1.071021,-1.970737,0.8054776,0.07834751000000001,-6.517803000000001,-7.591269,-11.38373,-28.60726
-2.4,-1.379114,-2.068293,-0.35279659999999996,-1.815381,-3.349793,-0.6378978000000001,-3.153458,-3.6418209999999998,-11.83047,-38.7523
-2.6,1.104199,-1.6947160000000001,-1.038949,-2.103858,-2.75136,-3.338966,-4.464819,-7.096445,-14.36268,-41.102439999999994
-2.8,-0.7597263999999999,-2.508459,-4.438334,-4.073605,-2.913701,-4.983216,-1.094362,-16.34448,-19.76069,-46.45539
-3.0,1.690933,-4.521338,-5.489681,-3.210327,-4.730653,-6.472517,-4.15236,-9.389303,-7.704657,-50.17928
-3.2,-0.2869638,-6.160757,-4.164234,-4.229427,-2.985704,-6.080838,-6.6171050000000005,-7.863448,-8.917414,-62.82632000000001
-3.4,1.847045,-6.53672,-4.750735,-5.1790270000000005,-5.417387000000001,-9.264622,-6.674847000000001,-31.013390000000005,-34.21801,-57.3805
-3.6,1.2091480000000001,-5.202077,-8.238479,-7.23108,-9.431329,-11.30608,-5.550159,-40.21593,-40.911049999999996,-72.07342
-3.8,-0.4640897,-7.87474,-7.967639,-10.46213,-12.91052,-15.15099,-7.243885,-40.4061,-46.61549,-75.31545
-4.0,-0.45355409999999996,-11.50341,-11.34054,-14.27002,-15.93889,-18.60381,-9.324576,-15.61339,-12.747010000000001,-91.4158
-4.2,-1.054315,-13.619309999999999,-17.269219999999997,-16.82265,-12.27611,-24.13738,-9.786978,-18.60678,-14.29784,-102.2196
-4.4,0.2955203,-17.91026,-21.66739,-18.74939,-20.088630000000002,-29.223100000000002,-11.45864,-22.11571,-16.55612,-115.4438
-4.6,0.30105000000000004,-21.561570000000003,-24.82306,-26.109219999999997,-28.10708,-37.92226,-15.906930000000001,-27.23222,-20.91768,-119.2122
-4.8,-0.6540794999999999,-22.559430000000003,-32.41724,-31.78942,-34.2108,-49.093939999999996,-19.81074,-36.28031,-22.54633,-130.1764
-5.0,1.210137,-29.547079999999998,-37.651309999999995,-39.8304,-43.31075,-57.09723,-16.0872,-162.54999999999998,-22.559430000000003,-142.8061
