[Metadata]
Opcode,VQCOP-B004
Test name,Dark current measurement
Device ID,R2C9Q0
Test Start Date,2025-02-25-10-49-40
Test End Date,-
Remarks,"tested with keithley SMU lowest possible reading > 700 nano Amps,SIDE NEAR R10 AND R250 WAS SCRATCHED"

[Unit]
Voltage,V
Current,uA
Temperature,C
Columns,"Bias voltage, Dark current-r[um], Temp"

[Settings]
Temp,25
Step size,0.2

[Measurement data]
Voltage step:,Dark current-r10.0,Dark current-r20.0,Dark current-r30.0,Dark current-r40.0,Dark current-r50.0,Dark current-r80.0,Dark current-r100.0,Dark current-r150.0,Dark current-r200.0,Dark current-r250.0
-0.0,0.2763118,0.5855691,0.3849855,1.575798,0.5152542,0.48812939999999994,1.121254,1.004082,-0.507338,-0.581902
-0.2,-1.266832,0.3059977,-2.003508,-0.2511078,1.415494,-0.8604255999999999,-0.007625203999999999,-2.791872,0.3180467,-0.4909816
-0.4,0.5532056000000001,-0.6947084,0.5862676,1.1855149999999999,-0.4390022,0.3917376,-1.038134,-2.131332,-1.138018,-0.13498359999999998
-0.6,-0.9794603000000001,-0.19994330000000002,1.227891,-1.156935,0.387663,-1.8517599999999999,-2.49577,-4.428497,0.3258465,-1.860433
-0.8,1.9687579999999998,0.4597823,0.5176989,-0.8224159999999999,-2.843793,-2.1288869999999998,-3.9853039999999997,-4.691654000000001,0.2394663,-1.656881
-1.0,2.251414,-0.7727649,-1.543493,-1.279754,-2.375047,-0.9203213,-4.363537,-2.810266,-2.0906450000000003,-3.541471
-1.2,0.4559406,-0.8660136,-1.375098,-0.2961606,-3.100839,-2.506364,-5.350041,-3.475056,0.6131595,-1.256296
-1.4,1.9338910000000002,-1.507928,1.780863,1.886452,-3.032736,-2.087851,-6.910937,-3.128836,-0.6682239,-1.743727
-1.6,-0.9576323999999999,0.15454130000000002,1.593726,-1.505716,-4.007947,-0.872591,-10.127139999999999,-6.4346820000000005,0.46286730000000004,-3.509049
-1.8,-0.1811422,-0.4111789,0.3612367,0.49220400000000003,-4.651549,-0.8569914000000001,-11.85772,-7.897441000000001,0.4992471,-4.031463
-2.0,1.093547,-2.2490859999999997,1.4908730000000001,-1.595472,-6.181945,-3.651483,-11.467319999999999,-9.209034,-0.8846982,-5.8434669999999995
-2.2,1.9687579999999998,0.42380999999999996,-2.596353,-1.7565330000000001,-6.538408,-3.355904,-15.831380000000001,-10.697289999999999,0.9687501,-4.783215
-2.4,0.7748022,-1.641689,-0.9333598,1.3059470000000002,-7.866648999999999,-3.7358260000000003,-18.293329999999997,-10.44548,-0.4473841,-4.907604
-2.6,1.239881,-2.995017,0.03399327,-0.49232040000000005,-10.40258,-2.750894,-19.000609999999998,-12.56447,1.739536,-8.611823000000001
-2.8,-2.018001,-1.759501,0.346452,-2.872141,-12.37862,-6.473565000000001,-26.486169999999998,-15.167340000000001,0.17741700000000002,-8.257164
-3.0,1.678825,-1.4679389999999999,-2.651126,-1.4969260000000002,-12.16406,-3.857538,-28.38043,-19.157600000000002,-2.1124720000000003,-8.485104999999999
-3.2,-1.262524,-5.747133,-1.937733,-1.9700959999999998,-14.947790000000001,-5.930371,-32.31139,-18.99648,-1.953857,-7.893656999999999
-3.4,-2.1173040000000003,-5.270005,-1.8993740000000001,-4.426809,-15.27806,-9.964628,-35.02826,-23.823,-2.241693,-10.191230000000001
-3.6,0.5493057,-5.266629,-1.506764,-3.652938,-21.09562,-8.364382999999998,-42.74378,-28.81896,-1.997047,-10.61516
-3.8,-0.2098968,-7.264141,-2.236513,-6.064598,-24.45083,-10.81493,-44.9479,-32.85572,-4.966976,-13.04725
-4.0,1.578941,-8.211936999999999,-2.6160270000000003,-7.838651,-28.91442,-11.6367,-52.20628,-41.29583,-3.114459,-12.669130000000001
-4.2,1.2211969999999999,-8.481031,-4.127505,-5.919951999999999,-29.61385,-16.6893,-60.47974,-45.75207,-5.0553349999999995,-12.62891
-4.4,0.2973829,-12.98438,-4.882168,-9.221316,-37.13075,-19.86575,-66.07478,-56.35785,-6.176881,-12.43385
-4.6,0.5383044,-11.85253,-7.167284,-10.87482,-44.38678,-23.430799999999998,-75.70078,-66.10318,-5.122507,-15.103720000000001
-4.8,0.5910988,-16.275270000000003,-7.880386,-14.51594,-52.059650000000005,-28.052249999999997,-85.27570999999999,-76.80093,-5.028093999999999,-15.47224
-5.0,-1.534645,-18.442050000000002,-12.988859999999999,-16.84169,-58.75257,-33.936749999999996,-95.24575,-90.71661,-5.1779209999999996,-17.42336
-5.2,-1.9141009999999998,-20.8834,-15.701340000000002,-21.22484,-66.006,-41.43541,-106.9708,-107.46979999999999,-7.071008,-16.54646
-5.4,-2.161309,-25.170209999999997,-16.7971,-24.82731,-77.72321000000001,-50.77594,-119.2305,-123.4056,-2.496061,-23.09657
-5.6,-3.112189,-31.468460000000004,-21.77327,-31.21869,-88.17951000000001,-60.645140000000005,-135.0777,-144.39960000000002,-4.5450289999999995,-23.92015
-5.8,-3.276335,-33.343300000000006,-23.45996,-36.13048,-102.7564,-69.7668,-154.0502,-171.4183,-3.055495,-26.64165
-6.0,-1.55298,-40.28832,-28.57245,-41.4364,-116.5423,-84.41138000000001,-168.3171,-199.2489,-2.7886130000000002,-26.79287
