[Metadata]
Opcode,VQCOP-B004
Test name,Dark current measurement
Device ID,R3C1Q5
Test Start Date,2025-03-13-09-48-01
Test End Date,-
Remarks,"tested with keithley SMU lowest possible reading > 700 nano Amps,SCRATCH MARKS OVER THE CHIPS & DEFORMATIONS"

[Unit]
Voltage,V
Current,uA
Temperature,C
Columns,"Bias voltage, Dark current-r[um], Temp"

[Settings]
Temp,25
Step size,0.2

[Measurement data]
Voltage step:,Dark current-r10.0,Dark current-r20.0,Dark current-r30.0,Dark current-r40.0,Dark current-r50.0,Dark current-r80.0,Dark current-r100.0,Dark current-r150.0,Dark current-r200.0,Dark current-r250.0
-0.0,-1.341396,-1.347798,-1.8319120000000002,1.423643,0.20687,-0.1585577,0.6063492,0.4657777,1.231616,0.39942099999999997
-0.2,-1.224864,-0.5703769000000001,2.540357,-1.02492,-0.1420849,-1.712178,0.3962778,0.864733,-4.172034,-2.898509
-0.4,-1.748092,-1.352106,1.1452939999999998,-0.4473841,-0.9178765999999999,0.1330045,-0.03917376,-0.7704947999999999,-4.461559,-4.233734
-0.6,0.4657777,-0.07933704,0.7938943,0.7902853999999999,-0.2229935,1.044245,1.350767,0.1123408,-5.947019,-6.23049
-0.8,-0.49371740000000003,2.46719,0.2981396,-0.07008202,0.7179333,1.021952,1.4537360000000001,-2.256536,-4.746136,-7.499300000000001
-1.0,-0.3793393,-0.4722388,1.045293,-0.6839982,-0.3642053,0.18003629999999998,-1.529756,-1.515436,-7.4625710000000005,-8.236790999999998
-1.2,1.465203,-0.162283,-0.4473841,1.225213,-0.7307971999999999,-1.2652599999999998,-1.653389,-0.04237518,-9.586976,-11.69043
-1.4,0.30640510000000004,-0.3298628,1.664914,1.450069,-2.0537989999999997,-2.414454,-3.319234,-1.866138,-9.614974,-11.07814
-1.6,0.47043429999999997,0.4370813,1.049484,-0.7270719,-1.765555,-0.7603084999999999,-2.1482699999999997,-2.31486,-10.77063,-15.27759
-1.8,0.7922645,-1.816021,-1.584121,0.7742783,-0.7875496999999999,-1.543493,-3.868132,-5.442707,-11.60183,-17.30351
