[Metadata]
Opcode,VQCOP-B004
Test name,Dark current measurement
Device ID,R3C2Q1
Test Start Date,2025-03-13-16-30-47
Test End Date,-
Remarks,"tested with keithley SMU lowest possible reading > 700 nano Amps,SCRATCH"

[Unit]
Voltage,V
Current,uA
Temperature,C
Columns,"Bias voltage, Dark current-r[um], Temp"

[Settings]
Temp,25
Step size,0.2

[Measurement data]
Voltage step:,Dark current-r10.0,Dark current-r20.0,Dark current-r30.0,Dark current-r40.0,Dark current-r50.0,Dark current-r80.0,Dark current-r100.0,Dark current-r150.0,Dark current-r200.0,Dark current-r250.0
-0.0,-0.018451830000000002,1.1149680000000002,1.232314,1.9523430000000002,-2.045184,0.7333001,0.8674105999999999,0.5297479,1.196866,-0.14493709999999999
-0.2,0.2774177,1.815672,0.3412715,0.9842332999999999,-0.7401104000000001,1.1461670000000002,0.9533833,-0.9275973,-2.090004,-2.2870950000000003
-0.4,-0.02869638,-0.006402843,1.3982640000000002,0.3889436,0.1330045,0.4701433,-1.9700959999999998,-0.32491519999999996,-1.4112449999999999,-5.944748
-0.6,1.120148,2.20252,2.0284790000000004,1.9894800000000001,1.519802,0.389351,0.8452917000000001,0.30105000000000004,-1.359673,-1.612643
-0.8,-1.762121,0.8508796,-1.4505350000000001,-0.15256229999999998,-0.8983188,-1.503737,1.404784,-1.964043,-1.3284150000000001,-6.215414
-1.0,1.789129,1.0980290000000001,-0.8153147000000001,0.29488000000000003,1.566194,-1.555192,0.3151363,1.389708,0.9322539,-8.68272
-1.2,1.3896499999999998,-0.1381268,0.1442968,2.41521,1.041859,-0.08713687,-1.3403479999999999,-1.0658400000000001,0.49313530000000005,-12.26098
-1.4,0.9003561,2.196815,-1.849607,0.1240987,-0.6428453999999999,0.9491923,-0.2542511,0.7999478999999999,0.6619375000000001,-12.24922
-1.6,-1.829816,-1.4534449999999999,2.6308700000000003,0.848202,-0.7135676999999999,-0.25390179999999996,-0.6741611,-1.375913,-1.854089,-13.9678
-1.8,-0.9089708,1.152221,0.6448245,1.8701539999999999,1.121894,-0.1381268,0.5901675000000001,0.5731708,-1.071021,-15.49406
-2.0,0.9213109,-0.24790640000000003,2.5313350000000003,1.736975,0.225089,1.25356,-0.7085036,-1.66893,-3.439258,-14.915249999999999
-2.2,0.9012874,-0.5182228,-1.081731,1.037086,1.188135,-0.8964561999999999,-1.3810930000000001,-0.3427267,-1.494598,-23.29535
-2.4,2.266548,1.873181,-0.1871958,-0.5555920999999999,1.032429,-0.8825446,-0.048894440000000004,-0.8001225,-3.247347,-25.21509
-2.6,0.5221809000000001,-1.0265499999999999,-0.8040806,-0.9354553,1.638138,-0.14499530000000002,0.24173640000000002,1.104199,-2.161891,-31.13801
-2.8,-0.19074649999999999,0.8246279,-0.9206706,-0.9033829,-0.1420849,1.075328,-0.2233428,-0.8911011,-4.347705,-32.464830000000006
-3.0,1.6581029999999999,0.8452917000000001,1.440698,-0.9713694,-1.9951839999999998,0.6379560000000001,-2.2810420000000002,-0.2568704,-2.1899469999999996,-40.3554
-3.2,2.028886,0.35745319999999997,-0.8592033,0.4573958,1.577544,0.05110633,-1.9040309999999998,0.9906943999999999,-3.260502,-43.650969999999994
-3.4,-1.604029,-0.7431371999999999,-1.587265,-1.757056,-1.7210839999999998,-0.7875496999999999,-4.257483,-0.50175,-3.5770939999999998,-50.83103
-3.6,1.109671,-1.009728,-1.079112,-0.3578607,-1.864799,-3.122899,-5.387467999999999,-3.613706,-3.233727,-52.03651
-3.8,0.6488408,0.6932531999999999,-1.8489659999999999,0.9569922,-0.169035,-0.0607688,-5.039852,-6.596907,-5.335314,-60.13582
-4.0,0.8738134,0.6866176,-0.95414,-2.591987,-0.7065828,-0.8763163,-6.708025,-7.384224000000001,-7.04173,-69.09328000000001
-4.2,0.6255577,0.5561742,-2.0155570000000003,-2.056011,-0.5481415,-0.6812625,-7.552444,-4.395144,-10.38518,-78.21378
-4.4,0.02363231,-2.4884939999999998,-2.119283,-2.605957,-3.796304,-2.804736,-9.658514,-5.465117,-8.752861000000001,-70.85197000000001
-4.6,1.886452,-3.090419,-3.070629,-3.4162660000000002,-2.789428,-2.841291,-11.17861,-6.468617,-14.28917,-97.99734
-4.8,1.457636,-2.2541499999999997,-2.761954,-1.3024550000000001,-2.228306,-5.968788,-13.311390000000001,-14.15011,-14.60669,-97.54352999999999
-5.0,-0.4473841,-2.841058,-4.583329,-3.415626,-4.36313,-8.693954,-16.57224,-17.38546,-19.414640000000002,-130.0848
-5.2,1.486798,-4.137051,-5.156326,-6.846094,-5.686248,-10.976980000000001,-18.894669999999998,-20.67833,-24.64833,-145.49880000000002
-5.4,0.0038999129999999996,-4.883623,-5.835026999999999,-6.986491,-8.874689,-10.533430000000001,-23.08615,-25.706129999999998,-33.28832,-165.5038
-5.6,1.188717,-7.137714,-6.801565,-8.34727,-11.17133,-14.43498,-27.86634,-31.384870000000003,-38.429829999999995,-186.9573
-5.8,-2.0904119999999997,-7.22846,-10.21323,-8.362345,-12.217789999999999,-19.748459999999998,-32.927,-24.88785,-53.10055,-214.01229999999998
