[Metadata]
Opcode,VQCOP-B004
Test name,Dark current measurement
Device ID,R3C2Q5
Test Start Date,2025-03-13-09-57-40
Test End Date,-
Remarks,"tested with keithley SMU lowest possible reading > 700 nano Amps,SCRATCH MARKS"

[Unit]
Voltage,V
Current,uA
Temperature,C
Columns,"Bias voltage, Dark current-r[um], Temp"

[Settings]
Temp,25
Step size,0.2

[Measurement data]
Voltage step:,Dark current-r10.0,Dark current-r20.0,Dark current-r30.0,Dark current-r40.0,Dark current-r50.0,Dark current-r80.0,Dark current-r100.0,Dark current-r150.0,Dark current-r200.0,Dark current-r250.0
-0.0,0.5007605,1.827604,-0.4473841,-0.8003553000000001,-2.000364,0.1905137,-0.7406343,-1.42667,-0.5246256,-2.671615
-0.2,0.07956987,0.31973470000000004,0.8610658999999999,1.2974489999999999,1.0267249999999999,0.02892921,-1.557462,0.6468035,-1.642387,-2.4138129999999998
-0.4,1.609907,-1.279754,-1.13534,-1.978187,-0.1388253,-3.2255190000000002,0.305241,0.3525056,-2.586748,-1.797744
-0.6,1.779292,0.6283517,-0.6204355,-2.4714970000000003,-1.2366219999999999,-2.237852,-1.4679389999999999,-3.52849,0.8283532,-1.964392
-0.8,-0.35861740000000003,-0.29488000000000003,0.2836459,-2.2962339999999997,-0.7875496999999999,-3.974594,0.2500019,-2.905726,0.6089685,-1.604029
-1.0,-1.19902,0.01775334,-1.407461,-2.644781,-2.350542,-5.043868,-1.038192,-2.7337230000000003,-3.06539,-2.799032
-1.2,1.0592050000000002,0.407279,-1.791923,-3.790075,-1.505716,-5.898299,-3.477442,-3.870926,-3.9717420000000003,-2.375047
-1.4,-0.8054776,1.0798100000000002,-0.7487251,-1.514331,-3.027148,-3.100839,-4.062837,-4.189380000000001,-2.055487,-4.840898
-1.6,1.1620000000000001,-2.064975,-1.5276020000000001,-3.325928,-2.518063,-7.525377000000001,-5.486887,-4.401081,-4.242756,-4.633097
-1.8,-0.6941264,-1.1349909999999999,0.37055,-5.583337,-3.125228,-8.039642,-3.168825,-5.951442,-6.648013000000001,-4.564819
-2.0,-0.2061133,-0.14493709999999999,-1.662353,-5.144859,-5.22472,-9.596581,-4.274421,-5.867681,-7.9532039999999995,-5.599984
-2.2,-0.2309098,-1.3544919999999998,0.47602229999999995,-8.111528999999999,-5.203299,-10.73396,-5.836657000000001,-6.032991,-6.802031,-6.956281000000001
-2.4,-2.199318,-0.895001,-1.4957040000000001,-8.441741,-7.229391000000001,-12.82041,-8.055881999999999,-10.40468,-6.292365,-9.972544000000001
-2.6,-1.370732,-1.2652599999999998,-2.133194,-7.868919000000001,-8.419564,-16.49378,-9.516544999999999,-8.619739999999998,-8.448085,-13.30633
-2.8,-0.4236936,-1.30164,-4.728092,-12.424719999999999,-10.63209,-20.088630000000002,-9.789423,-12.71785,-12.701319999999999,-11.92623
-3.0,-2.2074089999999997,-1.507928,-6.671529,-13.09905,-13.91873,-25.33884,-13.334389999999999,-14.51402,-14.16821,-15.73784
-3.2,-4.17605,-3.3956020000000002,-8.537841,-16.049249999999997,-18.58186,-26.81575,-14.10081,-16.034,-16.274980000000003,-20.17815
-3.4,-3.7840800000000003,-3.335008,-11.57395,-17.92994,-18.41673,-32.9387,-18.18803,-19.75789,-19.236060000000002,-22.5752
-3.6,-4.998525,-4.922155999999999,-12.38286,-19.746019999999998,-25.01416,-39.869369999999996,-24.389940000000003,-25.43029,-24.64408,-27.45818
-3.8,-7.565074999999999,-10.047170000000001,-15.408320000000002,-23.8521,-30.50675,-45.876310000000004,-26.77779,-31.493019999999998,-30.05902,-33.19795
-4.0,-11.53431,-10.326559999999999,-19.4168,-30.217579999999998,-35.68665,-55.233450000000005,-33.02359,-40.3499,-36.16686,-39.76788
-4.2,-15.554659999999998,-13.191189999999999,-27.63129,-34.060970000000005,-41.59645,-62.511480000000006,-39.062400000000004,-49.5475,-40.27865,-49.23565
-4.4,-17.942629999999998,-15.814910000000001,-34.58958,-37.94784,-52.0937,-76.13868000000001,-49.17098,-58.63249,-50.971779999999995,-57.723870000000005
-4.6,-22.90687,-22.672819999999998,-40.86143,-46.19424,-60.43806,-91.13745,-56.620509999999996,-67.61518,-61.615660000000005,-71.57715
-4.8,-29.347720000000002,-25.885759999999998,-51.04783,-52.34458,-69.45271,-105.7812,-68.94564,-84.72668999999999,-73.5606,-85.83401
-5.0,-34.72911,-32.6843,-63.01634000000001,-60.89255,-84.79724,-122.84939999999999,-79.2128,-98.9775,-86.92913,-104.30120000000001
-5.2,-45.46915,-37.17266,-78.79289,-71.71625999999999,-96.37972,-145.2636,-96.11869,-119.14189999999999,-100.1369,-122.41699999999999
-5.4,-55.21724,-45.439370000000004,-90.944,-84.15035,-112.7159,-167.4181,-113.7609,-141.2842,-117.1643,-148.4848
-5.6,-66.75633,-56.22083,-110.376,-95.23708,-133.2506,-197.0369,-133.9135,-167.7677,-136.6762,-174.4183
-5.8,-73.93473,-65.19604000000001,-130.97750000000002,-112.8691,-153.1259,-230.19,-159.2169,-200.6806,-158.1626,-204.42790000000002
-6.0,-90.33037,-77.99271,-150.26690000000002,-131.383,-172.22719999999998,-267.856,-187.5657,-235.3626,-182.1619,-240.52439999999999
-6.2,-107.70299999999999,-87.34441,-173.9761,-152.0069,-196.61350000000002,-307.89419999999996,-219.3924,-276.7461,-108.49680000000001,-292.8466
-6.4,-126.2981,-99.71351,-196.82139999999998,-173.7768,-224.1473,-355.0819,-253.93939999999998,-319.4815,-190.2203,-338.9939
-6.6,-143.27,-115.2378,-221.2959,-198.2283,-253.26359999999997,-407.7101,-300.0861,-371.1363,-211.2797,-382.6897
-6.8,-160.47570000000002,-127.9319,-249.23859999999996,-221.63289999999998,-287.8759,-467.7652,-345.1173,-429.34229999999997,-252.6983,-439.6709
-7.0,-178.8889,-139.0688,-276.4229,-253.82559999999998,-323.34729999999996,,-392.43649999999997,-488.1653,-258.0047,-491.7586
-7.2,-192.1115,-150.4844,-302.1196,-285.1571,-358.68899999999996,,-440.8928,,-324.2605,
-7.4,-204.0883,-161.2538,-325.5514,-309.9423,-404.3033,,-490.01450000000006,,-367.2602,
-7.6,-213.95950000000002,-170.862,-352.8705,-339.9093,-435.4413,,,,-396.1211,
-7.8,-227.61290000000002,-178.4881,-369.79740000000004,-369.9481,-472.31649999999996,,,,-494.9845,
-8.0,-233.0113,-187.6305,-385.2341,-400.2165,-507.0281,,,,,
