[Metadata]
Opcode,VQCOP-B004
Test name,Dark current measurement
Device ID,R3C3Q5
Test Start Date,2025-03-13-11-05-52
Test End Date,-
Remarks,"tested with keithley SMU lowest possible reading > 700 nano Amps,SCRATCHMARKS"

[Unit]
Voltage,V
Current,uA
Temperature,C
Columns,"Bias voltage, Dark current-r[um], Temp"

[Settings]
Temp,25
Step size,0.2

[Measurement data]
Voltage step:,Dark current-r10.0,Dark current-r20.0,Dark current-r30.0,Dark current-r40.0,Dark current-r50.0,Dark current-r80.0,Dark current-r100.0,Dark current-r150.0,Dark current-r200.0,Dark current-r250.0
-0.0,0.4976173,0.7259076999999999,-0.2462766,2.095068,-1.3658430000000001,1.6684059999999998,-1.312408,-1.859618,-1.703971,0.2509332
-0.2,0.6909249000000001,-7.235561,0.5475013,1.825043,-1.768116,0.652275,-1.155306,-1.501932,-2.624583,-3.46516
-0.4,1.608511,-9.183364000000001,-1.409615,0.8755596,-0.6436021,0.5731708,-0.12078090000000001,0.6582704,-2.019573,0.30983940000000004
-0.6,2.238259,-16.79105,0.4030881,1.4614779999999998,-0.9096111,-1.02492,0.6541958999999999,-2.375047,-4.145491,-4.189380000000001
-0.8,0.3715977,-22.301389999999998,0.5731708,0.3246241,-2.4121249999999996,-0.3445894,-0.02555316,-0.5718321,-6.596907,-3.635068
-1.0,-1.427892,-27.97518,0.5890033,0.2254383,-2.1483280000000002,-1.346983,-0.07933704,0.08934876,-7.265247,-5.050329
-1.2,0.1413864,-34.70029,-1.978187,0.3917376,-2.0891309999999996,-0.4381291,-1.6342379999999999,-2.29408,-9.442505,-6.92677
-1.4,0.3917376,-42.50367,-0.8292263000000001,-0.2862653,-0.9576323999999999,-1.759501,-0.9033829,-2.664921,-8.69931,-6.388815
-1.6,1.016189,-48.20948,0.5731708,-1.8672440000000001,-4.724832,-1.452863,-1.556124,-2.9817460000000002,-7.911411,-6.553659
-1.8,-0.09412179000000001,-55.94865,0.9312644,0.06292247999999999,-5.825539,-5.68293,-2.332556,-4.584959,-14.830440000000001,-9.054027000000001
-2.0,-2.063229,-66.31251999999999,-1.152977,-0.7007038,-5.2030080000000005,-4.995149,-4.115863999999999,-3.590074,-19.35201,-7.989525
-2.2,-1.418113,-76.25436,0.8337083,1.114735,-7.790397,-3.771915,-0.912929,-2.256536,-21.83567,-11.92861
-2.4,-0.02031447,-85.46540999999999,-1.363282,-0.24598560000000003,-6.291026,-4.789792,2.34216,-3.556022,-24.0865,-15.22119
-2.6,2.018991,-97.77251,-1.706067,1.301058,-7.949362,-6.260816,-1.5893599999999999,-8.132425,-31.007399999999997,-14.99767
-2.8,0.4061149,-108.3695,-3.1613160000000002,-0.8666539,-10.29915,-8.106697,-6.797548999999999,-7.353141,-34.26182,-17.76108
-3.0,1.181907,-121.0942,-6.511515999999999,0.7599592000000001,-12.0987,-11.86167,-5.187292,-8.795003,-42.02127,-24.175330000000002
-3.2,1.8138670000000001,-136.2223,-6.4346820000000005,0.8302159,-15.21775,-15.998779999999998,-9.243609000000001,-14.36402,-41.95,-26.2087
-3.4,-0.7644993999999999,-152.4831,-8.514617,1.0316729999999998,-19.39089,-17.01695,-11.40963,-18.71819,-55.18406,-32.380430000000004
-3.6,-1.033652,-167.4476,-11.8679,0.33219109999999996,-26.84334,-23.12899,-15.16042,-19.856849999999998,-66.08773000000001,-40.44102
-3.8,-0.7565832,-184.4493,-16.6893,2.052984,-28.852839999999997,-27.3725,0.3126333,-28.66692,-76.97296999999999,-48.39702
-4.0,0.4976173,-202.0945,-18.618940000000002,1.369393,-36.76003,-33.131389999999996,-0.19074649999999999,-33.86874,-93.37362,-58.508390000000006
