[Metadata]
Opcode,VQCOP-B004
Test name,Dark current measurement
Device ID,R3C7Q4
Test Start Date,2025-03-12-15-28-12
Test End Date,-
Remarks,"tested with keithley SMU lowest possible reading > 700 nano Amps,SCRATCHMARKS OVER BONDPADS"

[Unit]
Voltage,V
Current,uA
Temperature,C
Columns,"Bias voltage, Dark current-r[um], Temp"

[Settings]
Temp,25
Step size,0.2

[Measurement data]
Voltage step:,Dark current-r10.0,Dark current-r20.0,Dark current-r30.0,Dark current-r40.0,Dark current-r50.0,Dark current-r80.0,Dark current-r100.0,Dark current-r150.0,Dark current-r200.0,Dark current-r250.0
-0.0,-0.7876078999999999,-0.6428453999999999,1.021253,1.480337,-82.16413,1.238775,0.01286389,-0.8033821,-0.9916257,-1.524575
-0.2,0.3661262,-0.0004656613,1.225795,0.9054784,,-0.148837,0.18766149999999998,-0.236847,-10.41626,-1.9040309999999998
-0.4,1.812412,-2.0692239999999997,-1.510431,0.3317837,,-0.852393,-0.7411581,-4.3553880000000005,-13.16651,-5.383859
-0.6,-0.2598972,-1.3347600000000002,-0.6540794999999999,-2.1324959999999997,,-2.008746,-3.19985,-4.749745,-22.21926,-9.671261
-0.8,0.34208639999999996,-2.1482699999999997,-0.5749171,0.241329,,-0.43638279999999996,0.1498265,-9.77912,-31.02934,-9.132083999999999
-1.0,0.4576286,-1.418113,0.3991299,-0.6174669,,-0.7876078999999999,-3.962661,-12.00498,-39.852219999999996,-10.84991
-1.2,-0.6248592,-1.316774,1.7316779999999998,0.7848139000000001,,-3.714755,-5.550159,-12.46727,-48.79522,-13.82804
-1.4,0.1678709,-1.761655,-1.415552,-1.161708,,-2.019922,-5.995913,-19.882279999999998,-57.10468,-18.05194
-1.6,-0.774744,-2.757704,0.6365008,-2.1482699999999997,,-5.628623,-4.342524,-22.24196,-68.30139,-22.592609999999997
-1.8,0.2859742,-5.288514999999999,0.037543940000000005,-2.336456,,-4.495609999999999,-4.511734,-27.26872,-81.00332,-28.095209999999998
-2.0,-0.40786110000000003,-3.0343649999999998,-1.2574020000000001,-1.533306,,-7.575087,-8.310191,-33.75261,-95.76741,-30.20052
-2.2,1.140172,-4.947069,-2.2707390000000003,-3.526511,,-8.484232,-10.92511,-39.23615,-110.7232,-37.48017
-2.4,2.214976,-4.522095,-3.282272,-2.4241159999999997,,-9.493204,-9.649841,-47.06613,-129.43009999999998,-42.83141
-2.6,0.06624032,-8.398259999999999,-2.998742,-3.7925199999999997,,-13.52903,-11.471219999999999,-56.6571,-146.55190000000002,-51.30909
-2.8,-0.7875496999999999,-9.054725999999999,-2.8287180000000003,-4.691654000000001,,-14.47747,-17.17021,-65.79058,-170.8656,-60.001099999999994
-3.0,-0.4065805,-11.12273,-2.408051,-5.720241000000001,,-17.57534,-19.72908,-78.34993,-196.7789,-70.75840000000001
-3.2,-1.498207,-13.7919,-5.691894,-6.619317000000001,,-21.97624,-22.589,-92.65158000000001,-225.8433,-79.88069999999999
-3.4,1.832552,-15.328809999999999,-5.890324,-10.02551,,-25.7619,-30.02293,-107.1,-257.2686,-94.09765999999999
-3.6,-0.01903391,-16.14192,-7.641036000000001,-10.97977,,-31.15437,-32.34271,-125.85929999999999,-293.50829999999996,-110.8276
-3.8,-1.293491,-19.19537,-10.379470000000001,-12.86052,,-38.78705,-39.64972,-148.24249999999998,-332.6518,-129.4263
-4.0,1.8280699999999999,-22.45815,-10.57825,-15.846509999999999,,-32.98715,-50.85967,-156.75889999999998,-373.13770000000005,-150.3662
-4.2,0.3740424,-27.041880000000003,-13.83293,-19.83793,,-52.258430000000004,-57.38207,-158.1234,-422.4402,-169.5196
-4.4,-1.932494,-29.36315,-16.46642,-24.61846,,-62.45710999999999,-70.22795,-168.6323,-475.98539999999997,-201.3308
-4.6,-1.216482,-34.16347,-16.99437,-27.10015,,-74.79105,-81.71602,-223.24740000000003,,-231.0289
-4.8,-1.235923,-42.885510000000004,-23.84657,-35.17122,,-87.91629999999999,-98.92107,-279.524,,-263.9057
-5.0,-1.600652,-44.742720000000006,-27.230420000000002,-37.98684,,-104.03,-117.61699999999999,-331.6614,,-307.36
-5.2,-0.07200288,-56.4784,-30.877999999999997,-47.629439999999995,,-122.4228,-139.98020000000002,-375.0582,,-351.3442
-5.4,0.1462759,-64.0318,-38.51036,-59.337270000000004,,-139.6805,-164.6523,-427.2858,,-407.50379999999996
-5.6,-1.081324,-72.75899,-42.00806,-67.71454,,-165.6318,-193.9083,-484.7421,,-465.9295
-5.8,2.824876,-84.95446000000001,-50.97804,-80.32771,,-192.6199,-227.7594,,,
-6.0,-0.8232892,-96.25297,-59.52135,-95.83542,,-221.1204,-267.1454,,,
-6.2,1.452048,-107.9564,-72.1252,-111.5746,,-256.70210000000003,-309.66130000000004,,,
-6.4,-0.5727051999999999,-123.80520000000001,-83.49221999999999,-128.5142,,-297.6562,-357.9467,,,
-6.6,1.201231,-140.3704,-94.14085,-149.8662,,-341.1701,-412.04240000000004,,,
-6.8,1.875567,-156.2713,-109.5775,-171.5791,,-388.89079999999996,-470.1833,,,
-7.0,1.903682,-179.81019999999998,-124.8702,-194.2851,,-438.4438,,,,
-7.2,0.9046053000000001,-205.904,-137.8514,-221.00670000000002,,-492.9161,,,,
-7.4,0.1288718,-226.2853,-156.64929999999998,-242.3068,,,,,,
-7.6,0.37526479999999995,-260.8895,-171.1214,-267.1381,,,,,,
-7.8,-0.1604785,-279.9099,-183.39260000000002,-292.6252,,,,,,
-8.0,0.5583861,-298.0956,-196.5379,-311.19509999999997,,,,,,
-8.2,-1.0102520000000001,-317.9952,-203.5382,-327.3483,,,,,,
-8.4,0.6015762,-355.7613,-215.98590000000002,-342.9564,,,,,,
-8.6,0.8059433,-379.90110000000004,-225.3469,-359.4719,,,,,,
-8.8,-1.604029,-403.9416,-240.8349,-377.2104,,,,,,
-9.0,0.413158,,-251.3735,-395.06269999999995,,,,,,
-9.2,0.49220400000000003,,-260.2981,-412.0213,,,,,,
-9.4,-0.6828341,,-275.5029,-428.04490000000004,,,,,,
-9.6,1.490233,,-288.0965,-448.7903,,,,,,
-9.8,1.971726,,-304.80269999999996,-468.2921,,,,,,
-10.0,-0.2098968,,-318.2836,-487.22909999999996,,,,,,
